Name,Overall,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,Preferred Positions
S. Blondelle,67,56,73,56,55,61,67,58,35,51,38,58,8,14,7,15,10,66,65,57,61,58,65,43,28,64,66,68,65,47,69,66,72,58,25,CDM
L. Compagnucci,60,74,56,67,74,63,51,41,39,61,44,35,8,10,15,12,10,48,58,56,59,52,57,43,53,53,62,51,58,73,55,57,67,57,36,CDM
Elgezabal,68,58,72,56,56,60,61,40,36,39,24,46,8,14,14,15,6,66,66,71,62,26,71,41,38,59,63,58,68,54,63,67,70,46,32,CB 
N. Miatke,66,78,71,80,82,61,60,66,69,66,44,61,13,15,10,7,13,53,60,77,55,48,65,43,53,62,62,65,63,76,73,64,49,45,45,LB
C. Yambéré,70,63,71,37,56,55,60,30,28,55,28,28,11,15,11,9,11,69,66,71,51,21,73,34,50,60,65,40,65,54,61,72,79,43,34,CB
W. López,69,66,77,45,36,66,66,74,62,61,35,57,16,7,6,8,16,45,70,60,65,59,61,39,51,72,67,60,70,68,81,59,70,58,53,LB 
M. James,72,65,64,62,70,75,73,70,68,68,59,66,7,10,15,8,14,63,68,67,74,58,67,52,63,69,76,72,64,54,72,69,70,71,44,CM 
W. Zahibo,67,57,84,52,71,63,56,41,37,61,37,42,14,14,14,11,13,66,70,61,61,52,64,54,49,60,65,70,60,58,73,65,87,59,33,CM
B. Osborn,71,82,52,90,87,70,64,70,68,69,55,70,10,11,13,7,15,47,41,37,70,69,49,42,63,59,72,70,44,79,88,59,51,72,68,CDM
Ryang Yong Gi,60,35,47,69,74,66,57,66,53,64,55,53,15,6,16,15,11,46,62,35,62,64,29,49,50,61,68,52,38,49,45,42,62,67,45,CF
L. Melano,70,92,55,79,60,64,67,66,66,67,65,35,13,15,16,7,9,62,24,65,59,65,26,56,67,71,65,70,28,89,84,29,75,64,66,RW
M. Taylor,67,48,77,65,69,70,70,75,77,66,61,79,16,13,16,12,16,65,61,75,69,69,62,67,66,65,67,78,63,45,70,61,72,74,68,CM
P. Bernier,68,51,66,55-4,79,72,79,65,66,69,51,60,7,12,7,16,16,59,61,54,66,54,59,74,66,70,74,64,59,47-2,55,63,69,70,58,CAM
T. Monconduit,73,69,74,65,69,71,73,64,65,69,49,58,12,9,14,13,13,59,69,68,71,57,68,52,67,75,75,65,66,69,85,68,73,69,39,CDM
M. Desler,63,74,47,82,64,67,60,49,54,66,60,51,6,10,9,6,7,58,52,82,61,59,57,58,57,60,67,58,62,76,75,60,44,56,46,RM
Bruno Tabata,69,79,41,77,76,72,60,76,55,71,51,39,7,13,8,10,6,36,23,57,65,35,33,45,69,60,76,45,42,77,68,35,43,70,43,RW
Fred,80,80,73,84,87,84,79,67,70,79,71,59,7,16,15,11,15,55,69,84,77,74,75,65,69,82,85,69,69,84,88,75,45,76,64,CM
B. Lecomte,78,44,23,36,25,23,38,13,20,11,11,19,78,74,79,76,80,10,24,60,21,10,11,20,10,73,17,18,12,40,34,11,55,41,10,GK 
N. Basin,58,77,63,84,90,55,50,56,49,58,40,43,9,10,8,14,10,21,56,51,34,36,50,44,50,52,44,47,63,78,60,58,36,42,32,LM
J. Colback,73,65,82,74,73,73,65,61,60,66,54,59,6,6,6,10,7,56,70,79,70,64,68,59,53,70,77,71,74,61,81,73,59,61,47,CM
J. Hope,53,62,60+8,54,70,60,50,40,37,55,34,39,11,12,13,13,9,47,40,55,51,38,30,36,51,49,54,47,45,67,62,46,44,49,39,CM 
S. Malone,71,75,65,73,65,68,63,68,40,69,57,63,12,9,11,9,7,55,70,71,64,65,66,64,64,71,67,69,68,77,79,69,73,55,54,LB 
Everticinho,77,84,73,79,70,75,80,76,76,76,69,68,7,8,8,8,7,60,72,61,59,74,70,64,76,80,76,72,77,76,88,75,68,64,71,CM
Daniel Amora,66,58,69,62,66,71,59,49,42,65,35,46,10,10,6,11,14,59,73,57,69,55,69,50,61,65,72,66,58,69,70,66,74,51,45,CDM
S. Salinas,68,83,52,74,62,66,53,69,74,68,56,65,9,13,8,8,9,55,59,49,62,59,53,50,59,63,65,62,56,77,78,59,51,67,55,LM
A. Linganzi,63,60,43,63,60,65,70,46,58,61,49,49,12,16,6,8,15,60,66,65,60,52,54,52,54,62,64,60,56,68,62,63,80,64,45,CDM
A. Gcaba,70,73,73,61,59,68,61,66,56,66,39,31,10,8,9,12,15,64,66,64,63,41,71,36,43,61,68,61,69,71,69,73,68,50,41,CB
C. Weston,58,74,49,80,69,58,59,55,57,54,51,46,11,7,14,6,9,47,39,65,55,56,39,59,58,64,58,66,44,72,70,43,65,60,61,CAM
S. Mpontshane,65,48,22,33,55,22,39,19,20,24,14,22,65,63,62,62,71,22,23,61,41,20,16,22,15,52,32,17,23,45,31,15,69,45,20,GK 
P. Gannon,53,58,48,57,67,54,46,52,31,52,35,31,12,9,12,7,5,49,47,54,53,47,47,40,48,49,56,44,44,55,63,48,49,52,41,CM
F. Sule,55,58,52,55,78,54,55,43,34,45,33,39,13,7,7,12,9,51,53,61,51,34,55,37,42,52,54,45,53,45,64,56,65,44,42,CDM 
D. Ball,65,73,31,80,61,66,60,42,54,62,65,58,6,13,12,16,16,57,34,44,37,59,23,67,65,65,54,66,26,69,65,12,65,63,45,ST
M. Marić,65,44,24,31,53,15,32,17,17,19,13,17,71,61,65,66,69,15,19,59,20,19,19,16,7,47,23,21,19,41,18,13,68,40,16,GK 
J. Dodoo,66,78,33,70,59,64,68,64,42,66,68,30,8,14,7,15,10,53,18,57,55,48,48,59,61,55,60,71,43,81,70,47,78,49,65,RM
F. Sears,69,86,68,85,86,68,68,66,62,69,67,68,15,7,15,14,7,61,32,53,58,65,19,65,67,64,65,66,39,85,80,45,63,66,62,LM
Javi Muñoz,64,63,41,69,78,63,60,44,42,67,54,38,6,10,8,7,8,44,26,48,73,72,39,43,59,59,70,55,46,57,58,45,44,69,43,CAM
C. Montano,62,79,65,85,72,61,58,60,62,65,58,51,6,11,15,8,8,36,42,60,49,52,32,55,57,57,58,64,39,78,64,43,57,40,55,LM 
G. Dicker,64,70,81,73,61,66,73,55,45,54,36,56,14,14,6,15,11,63,55,75,67,47,43,39,57,67,70,58,62,52,75,65,77,60,52,CB
Hwang Ji Soo,61,56,62,68,75,59,65,57,46,63,31,35,15,12,12,13,14,69,64,72,59,62,62,63,67,56,65,65,52,59,32,60,76,73,55,CDM
G. Mackay-Steven,68,86,49,89,82,68,64,65,66,72,57,40,8,11,7,7,15,47,25,70,53,62,32,55,63,60,64,63,33,82,65,35,54,64,58,LM
T. Verheydt,62,45,85-2,42,44,56-2,56-1,27,37-1,47-2,63-2,25,7,12,14,10,13,69-3,22,54,34,60-2,17,60-3,60-2,56-1,54-2,72,21,52,51,30-2,87-3,42,51-1,ST 
T. Chandler,76,75,83,54,52,72,68,77,63,71,53,43,12,7,8,11,12,73,64,69,72,60,74,50,68,72,75,78,79,79,82,79,81,55,53,RB
Dankler,69,36,67,28,53,50,64,34,34,37,38,30,7,11,11,11,14,71,65,79,59,29,70,41,31,57,64,56,67,33,48,69,83,30,38,CB 
A. Lonergan,66,40,28,50,42,24,30,12,12,11,14,14,65,64,52,66,68,15,12,66,27,13,15,16,8,65,29,24,14,41,28,15,56,32,15,GK 
Chong Te Se,72,63,82,67,75,68,72,58,64,65,73,57,6,9,8,11,11,71,28,76,58,72,40,65,67,73,67,75,33,71,73,44,82,72,66,ST 
M. Konrad,67,58,70,57,56,54,64,53,49,54,54,51,7,14,12,13,15,63,67,71,63,55,67,49,44,64,64,64,65,68,82,69,80,50,55,CDM
T. Černý,66,53,44,63,49,12,35,23,17,22,12,11,64,64,63,66,64,17,24,74,34,13,19,11,16,72,35,23,17,33,39,11,67,49,14,GK 
K. Yano,61,41,59,68,49,68,60,61,52,57,66,50,14,13,16,13,13,62,55,55,55,54,58,61,50,62,62,62,59,48,80,61,81,54,52,RM
Caio Nunson,75,55,93,46,48,59,65,53,69,61,48,67,11,7,8,10,16,77,66,68,57,58,72,46,34,67,71,51,72,64,54,77,84,51,44,LB
W. Kamavuaka,67,66,81,52,52,60,59,53,47,52,33,50,13,8,8,12,15,69,69,69,54,46,65,53,31,67,60,65,72,69,75,71,78,49,42,CDM
L. Rigoni,75,68,76,62,58,75,76,65,49,70,61,59,15,10,14,11,6,69,73,72,76,75,69,51,70,75,78,79,70,69,77,74,70,73,60,CM
V. Enyeama,80,49-1,39,58-2,59,23,24,10,14,11,19,66-5,76,78-2,73-1,77,86-2,10,21,76-4,28,10,12,70-5,10,74-2,39,35,11,53-1,35,12,71,57-1,11,GK 
M. Riveros,69,64,73,62,59,72,49,52,66,65,35,65,9,15,12,6,15,58,69,59,67,63,61,46,62,70,71,62,55,65,79,65,60,68,59,CM 
M. Zacho,58,66,46,70,78,61,59,56,54,60,50,51,7,7,16,15,15,42,24,63,52,51,42,55,44,55,56,54,38,72,56,40,56,47,50,RM 
F. Florio,59,68,63,58,62,60,48,61,53,51,21,15,9,8,14,15,12,38,58,45,42,24,57,26,26,54,48,38,61,73,58,56,52,28,17,RB 
Santi Comesaña,69,59,59,55,53,68,56,49,48,61,72,47,8,11,11,6,9,58,66,57,70,73,63,39,70,71,70,65,59,59,57,58,42,70,49,CM
A. Pandaña,72,75,81,54,55,61,70,51,61,62,51,62,7,15,7,8,10,73,71,77,71,41,77,63,44,72,72,44,73,70,67,72,81,67,39,CDM
O. Watkins,67,78,34,82,73,65,45,54,60,72,65,37,14,14,14,6,10,58,44,58,56,64,26,56,57,59,67,65,36,85,66,41,67,64,53,CAM
W. Kanon,69,65,67,57,50,65,59,55,33,61,25,30,8,13,15,7,11,64,68,72,50,48,67,45,25,60,54,65,71,63,68,71,81,31,35,LB
Y. Ayoub,76,73,72,74,91,78,78,81,74,79,65,71,16,10,8,16,9,56,66,43,73,73,58,72,67,75,76,75,74,68,85,73,69,75,66,CAM
R. Thelander,72,59,71,48,45,54,58,40,25,39,28,30,15,10,14,12,8,73,68,68,59,24,68,33,39,60,61,55,72,64,62,74,86,44,30,CB 
Nicholas Aldair,75,59,67,63,60,75,83,66,63,72,75,59,7,11,7,11,14,72,40,69,58,73,38,74,72,72,74,78,46,77,83,37,77,69,74,ST 
J. Murillo,72,91,45,92,91,76,59,52,69,77,70,38,7,7,13,9,12,58,20,69,43,69,15,66,67,76,60,70,20,93,77,18,31,58,52,RM
N. Subotić,77,51,81,52,58,41,75,47,33,39,29,58,6,5,10,8,6,84,76,73,66,47,80,43,48,77,50,81,81,65,68,82,78,44,32,CB 
Lluis López,68,65,71,64,54,64,59,46,32,47,24,26,8,14,8,6,12,70,71,73,58,18,65,33,48,64,62,46,72,63,55,66,56,31,29,CB 
Fausto Tienza,73,69,85,59,61,74,62,49,49,69,55,47,7,14,14,14,11,55,75,72,67,60,62,48,69,68,74,62,64,70,84,77,74,72,32,CM
G. Landel,67,83,59,68,70,66,49,60,45,66,57,44,8,15,14,10,10,54,69,43,62,64,68,63,65,73,66,55,62,74,72,67,52,68,50,CDM
M. Kazankov,63,77,51,74,81,67,63,55,53,70,60,32,15,9,9,13,6,39,42,54,59,66,33,47,58,53,63,67,37,76,31,31,57,51,42,RM 
J. Jacobson,66,72,61,77,60,60,58,65,63,62,51,66,9,9,12,11,9,55,60,82,62,62,57,58,57,60,58,62,63,74,86,67,73,58,23,LB 
Oswaldinato,67,55,64,47,60,71,61,71,61,72,66,55,13,13,7,8,1,56,63,55,77,75,62,56,55,64,61,81,64,56,72,64,81,62,63,CDM
F. Yiğit,59,66,29,56,70,57,54,37,52,72,63,34,15,6,12,8,13,50,13,56,40,64,15,73,41,56,56,69,15,64,56,15,47,53,59,ST
J. Eskesen,52,64,40,66,77,53,51,46,46,51,39,35,14,6,8,6,10,35,22,53,56,38,32,47,49,52,64,54,48,65,53,36,44,52,36,RM
D. Criscito,80,78,79,68,65,73,75,79+4,71,72,56,61,13,10,16,9,9,69,77,80,75,59,78,70,68,78,77,68,82,77,90,80,73,71,62,LB
P. Bürger,64,51,53,68,65,56,66,45,63,57,63,68,13,14,11,9,16,71,18,91,41,62,33,61,64,57,53,70,28,63,91,31,89,57,64,ST 
D. Phillips,67,77,75,76,79,60,56,55,54,64,47,53,13,15,10,12,8,49,69,71,54,53,68,54,53,61,63,68,69,81,68,69,59,50,49,LB 
T. Dingwall,60,73,56,80,75,66,54,58,42,63,57,42,13,8,15,12,10,49,50,73,61,47,50,48,52,53,62,58,50,75,72,53,61,54,31,LM
M. Tall,64,84,52,80,82,63,60,42,50,67,62,47,9,13,15,11,8,61,20,81,43,49,15,62,55,59,57,66,13,85,69,12,64,49,68,ST 
E. Mor,70,89,55,95,93,80,54,59,53,86,65,38,13,10,7,13,6,41,28,65,43,60,19,49,59,66,60,61,29,81,61,21,43,58,62,ST
M. Milinković,68,75,72,76,71,75,65,65,69,74,63,60,10,6,7,11,6,42,40,38,46,68,17,63,65,65,60,74,20,79,73,14,59,50,63,LM
L. Rodríguez,70,86,40,78,72,71,68,68,59,70,56,60,10,7,10,6,8,56,67,63,64,67,64,40,61,66,69,68,60,85,83,64,67,66,57,RB
W. Mansila,76,73,57,62,56,75,65,61,62,76,78,63,8,14,12,16,12,77,34,55,55,73,31,64,72,79,62,76,22,78,61,23,69,65,77,CF
H. Traorè,57,65,43,77,59,58,60,40,54,55,42,43,8,10,14,12,11,46,21,51,61,28,34,49,44,50,63,54,54,66,61,41,57,62,41,CAM 
Dídac Vilà,72,72,78,58,51,67,66,70,69,72,32,37,15,7,5,9,8,67,75,72,66,57,71,34,59,66,62,72,75,76,75,72,76,54,34,LB 
G. Peñalba,74,40,76,53,53,75,74,67,70,76,64,64,7,14,6,7,12,66,72,31,75,71,66,74,66,70,74,73,60,51,75,72,89,74,61,CM
D. Lachman,69,51,72,42,43,58,62,36,33,59,43,56,13,15,8,6,14,59,68,71,68,37,67,44,32,65,68,68,62,64,72,69,87,55,39,CB 
L. Sierra,64,54,66,61,70,56,50,42,36,47,28,34,7,12,5,10,9,55,58,63,58,25,66,41,30,55,67,40,58,64,75,64,77,59,28,CDM 
L. Boussaha,69,80,75,89,77,59,65,56,50,67,71,49,9,8,16,14,6,66,24,71,50,70,18,70,61,70,51,73,23,84,78,18,69,54,64,ST 
W. Vaulks,64,61,58,61,65,63,36,51,42,56,54,50,15,15,16,9,13,64,64,66,62,69,61,52,23,53,65,68,62,60,73,63,72,66,28,CDM
F. Bong,64,53,47,45,52,36,55,38,24,33,18,29,10,13,14,7,6,66,59,71,55,18,62,35,30,57,57,35,64,55,70,61,92,31,30,CB 
Dani Alves,84,79,78,85,87,86,82,86,80,84,55,74,5,11,9,6,7,72,81,80,77,78,73,70,74,79,83,86,83,84,76,79,55,78,68,RB 
Nazario Serpe,67,58,67,56,68,45,63,55,26,33,34,49,16,14,15,18,15,45,75,72,54,40,75,55,24,68,70,52,71,52,64,71,68,62,22,CDM
Marcelo Toscano,70,69,65,66,64,66,54,64,67,64,68,67,16,10,15,14,12,77,56,64,60,63,53,73,71,67,66,73,50,67,70,47,77,73,64,CAM
D. Watmore,69,82,46,78,82,67,58,58,67,74,69,42,6,15,8,14,15,49,21,58,56,57,28,65,67,64,66,66,35,79,67,30,61,60,58,ST
J. O'Sullivan,64,78,72,67,48,62,65,56,55,66,35,41,11,12,11,9,10,50,60,60,60,59,49,40,61,61,68,63,50,81,66,51,63,62,47,LM
Dani Ceballos,78,72,76,72,73,83,71,70,69,82,62,61,12,15,16,7,13,37,76,52,78,63,70,55,73,78,79,57,74,65,66,77,60,80,57,LM
H. Cakin,60,60,63,56,72,57,50,53,47,54,35,40,11,7,9,16,14,57,52,58,57,42,62,53,33,55,62,57,64,64,63,57,60,55,46,LB
M. Randall,62,67,33,61,60,62,67,51,59,56,54,61,15,15,8,12,7,35,54,32,65,44,34,55,51,62,68,51,47,66,63,48,59,68,42,CM
K. Barmen,66,70,68,61,64,65,70,58,63,62,65,63,8,10,13,6,10,68,65,84,61,65,58,60,68,64,65,68,58,65,77,62,76,62,61,CM 
A. Imperiale,66,50,69,54,52,50,41,48,28,40,19,30,10,9,9,8,12,64,64,76,40,16,66,35,23,62,58,36,63,59,66,64,77,29,23,CB 
Osmar,73,54,73,59,52,59,59,54,65,51,45,55,14,11,7,16,9,71,74,70,72,70,72,68,57,60,67,70,76,53,89,73,81,70,44,CB
L. Abergel,66,77,76,72,81,54,56,62,42,63,32,39,7,14,15,8,7,50,63,73,63,29,63,42,54,68,68,35,67,69,76,70,60,44,34,RB
Zheng Zhi,76,68,75,65,67,77,75,65,76,74,60,68,13,16,6,10,14,65,75,66,71,70,75,68,60,71,82,68,68,58,75,72,68,76,72,CM
F. Trinks,67,72,63,73,69,69,62,61,73,69,57,74,11,6,6,15,8,61,45,67,62,64,17,60,64,66,69,67,39,66,73,38,67,63,65,CAM
V. Guzmán,69,73,66,72,74,70,60,58,59,68,54,51,14,8,15,10,8,70,68,78,69,70,66,57,50,63,72,75,67,75,76,67,59,67,48,CM
J. Repas,68,78,39,69,64,70,55,65,59,71,60,59,14,13,6,8,6,52,35,55,65,59,40,60,60,55,71,62,39,76,55,40,54,60,55,LM
Bojan,79,78,30,84,85,78,74,68,83,77,70,66,5,14,8,14,7,42,29,48,72,70,20,71,77,72,81,76,19,75,67,22,43,81,79,CAM
Y. M'Boné,64,56,68,57,55,58,64,55,50,57,49,46,7,10,13,15,13,68,64,64,55,42,60,53,42,62,62,57,60,51,77,61,72,50,50,CDM
L. Martínez Quarta,70,69,67,67,63,66,53,59,46,63,49,43,10,15,12,10,15,78,67,74,69,51,67,54,59,71,68,63,69,69,68,67,72,59,49,CB 
K. De Bruyne,89,76,68,80,75,87,84,90,83,85,83,83,15,13,5,10,13,53,56,65,84,86,30,77,84,88,90,85,40,75,87,51,73,90,82,CM
J. Wright,66,66,58,67,63,53,63+2,31,26,42,28,34,6,10,6,11,6,64+4,65,68+6,48,24,68+4,35,29,62,61,43,66,61,74,68+1,71+3,46,29,CB 
J. Blåbjerg,62,74,42,63,67,64,58,62,30,58,29,21,13,12,9,15,13,57,59,74,54,33,64,38,43,58,60,48,62,76,73,64,68,33,24,CB
Bellvis,69,76,77,90,88,71,62,72,67,63,34,58,10,14,10,6,7,47,71,83,59,35,63,59,53,67,58,64,70,79,73,64,57,50,42,LB
B. Zolinski,66,86,60,73,74,63,58,62,61,64,62,46,8,12,12,11,12,46,63,74,55,56,56,44,54,64,64,61,62,84,82,62,71,47,45,RM
D. Mangni,65,75,29,79,79,68,59,35,45,66,65,36,7,14,9,7,11,61,20,82,43,53,14,64,59,55,54,61,13,87,72,14,72,49,57,ST 
E. Valencia,76,86,50,76,74,72,75,70,71,75,75,65,9,12,16,9,8,74,42,90,63,74,37,70,73,72,68,84,42,85,85,40,68,62,61,RW
M. Rasmussen,59,68,53,74,82,63,59,60,44,62,41,60,14,15,14,12,15,43,38,88,61,62,38,50,57,53,63,62,67,61,63,42,41,50,37,LW
E. Gómez,65,73,62,65,66,61,39,58,41,60,33,34,13,15,10,15,8,58,58,56,45,32,62,45,50,59,59,33,67,75,74,66,65,36,35,LM
F. Barridos,72,35,41,33,41,21,62,9,9,8,9,12,71,63,77,74,75,9,21,66,22,12,8,21,11,67,23,21,7,31,34,8,79,60,8,GK 
O. Pérez,71,60,26,69,69,23,50,19,12,12,14,20,70,64,65,73,74,24,12,85,27,18,11,23,12,72,26,24,11,57,41,12,66,40,13,GK 
M. Formica,71,76,52,75,76,72,58,66,63,76,66,59,14,14,9,13,14,65,33,73,67,73,23,66,69,66,63,72,29,76,62,24,58,74,65,CAM 
J. Draxler,84,76,48,81,75,87,81,83,78,88,78,75,11,13,5,13,8,65,36,76,77,81,25,63,79,83,84,86,26,79,68,35,67,84,84,CAM
F. Márquez,68,74,48,72,62,69,66,41,41,70,56,33,11,14,6,13,11,69,23,77,64,70,28,68,62,66,76,72,32,80,76,32,81,74,56,ST
A. Okugo,66,73,73,72,71,62,64,40,57,58,52,53,6,6,10,12,12,62,66,80,56,59,63,52,60,63,66,69,61,78,75,62,71,56,43,CDM
O. Sorg,73,75,76,78,82,72,68,68,59,68,40,50,11,10,7,8,13,58,73,63,62,65,73,51,49,70,72,79,74,74,74,75,64,60,61,LB
J. Ruddy,62,45,18,42,63,24,31,13,18,18,17,39,62,59,54,61,64,17,20,51,41,14,17,28,19,61,39,19,11,40,31,17,59,29,17,GK 
A. Nocerino,70,57,68,74,82,71,71,62,64,65,60,60,5,15,14,6,7,57,67,51,75,69,66,74,60,64,76,80,65,55,70,67,69,66,69,CDM
S. Saad,66,71,39,71,64,65,61,62,68,68,65,57,16,8,14,14,8,54,35,65,52,68,21,63,63,66,61,78,14,73,62,20,56,63,62,ST
R. Oudin,69,68,42,71,55,71,60,74,77,68,71,76,8,13,11,13,6,68,17,72,48,65,22,66,62,60,62,71,15,73,57,21,73,70,58,LM
J. Knoll,51,35,22,38,47,15,36,20,25,19,12,19,58,59,50,43,47,18,25,62,29,11,15,25,12,38,30,34,20,33,30,20,34,40,20,GK 
M. McNulty,63,37,37,48,42,23,37,16,19,12,12,12,68,60,54,62,61,12,16,43,23,15,12,22,12,57,36,21,14,38,40,10,49,33,14,GK 
Miguel Silva,71,48,20,21,33,11,37,12,11,8,5,13,74,65,59,67,77,14,7,72,20,6,5,13,8,71,26,21,14,50,27,14,58,28,9,GK 
W. Sandilands,70,50,46,57,45,35,62,13,10,11,11,12,66,75,67,71,68,11,22,75,21,11,12,37,12,61,19,11,10,56,26,15,72,14,11,GK 
V. Solomon-Otabor,64,85,61,70,79,67,56,57,44,68,57,42,12,14,7,15,13,33,32,62,48,58,30,50,53,52,59,61,31,90,72,33,68,51,46,LM
G. Fernández,73,74,56,82,74,73,72,57,73,73,68,75,6,14,16,10,9,68,31,74,68,71,30,63,70,61,72,78,29,72,58,35,51,75,69,ST
G. Borello,59,60,35,58,91,67,49,62,57,68,50,47,14,12,14,11,9,42,18,49,42,46,27,62,50,44,59,64,32,57,48,33,33,60,56,RW 
M. Vilhjálmsson,70,76,40,77,59,64,62,53,59,63,67,46,6,16,14,14,15,76,58,77,57,63,56,59,71,66,64,69,54,72,66,61,83,62,65,ST
J. Bjørdal,68,60,70,61,56,62,72,44,25,40,32,27,16,13,6,10,10,65,64,70,63,52,66,34,44,65,62,67,64,61,70,66,82,57,31,CB 
A. Elis,72,90,75,76,63,74,64,62,60,75,68,57,9,7,6,10,9,64,33,65,60,62,23,65,67,66,68,69,25,89,73,21,70,63,66,ST
T. Enomoto,61,29,22,24,43,18,35,14,13,14,7,14,62-1,60-1,59,61-1,57,10,12,58,15,5,5,12,7,59,21,18,12,17,18,11,44,21,7,GK 
Yeo Reum,67,75,62,76,81,64,60,59,55,61,49,56,8,16,12,10,10,38,56,72,68,55,62,57,55,68,71,58,58,75,86,56,72,72,42,CM 
F. Thauvin,82,88,56,81,71,83,80,82,80,86,74,54,8,11,14,10,9,69,43,64,75,81,29,57,80,83,81,82,31,77,71,29,62,78,67,RW
E. Belözoğlu,79,54,87,68,84,81,77,83,83,75,68,83,7,11,7,14,8,43,66,72,87,77,63,85,63,69,86,79,64,42,61,65,65,86,69,CDM
J. Bolton,62,77,60,66,65,55,46,55,42,53,21,23,13,11,13,10,7,59,57,68,52,34,58,36,37,62,57,48,58,79,71,61,67,44,22,RB
C. Trimmel,71,76,75,72,55,67,62,73,57,68,60,42,16,8,6,8,15,61,55,55,62,56,70,59,65,70,68,61,65,86,86,69,80,65,56,RB
J. Al Dawsari,62,44,53,62,62,53,45,27,30,43,22,29,13,9,9,15,7,71,56,75,46,23,65,39,41,54,53,38,62,48,62,58,75,41,29,RB
M. Kovačić,82,85,71,77,70,87,72,73,78,88,62,68,9,5,6,7,7,42,70,63,82,75,52,59,69,68,87,79,63,77,77,69,65,88,76,CDM
Edvaldisco,74,77,67,61,62,73,81,71,62,71,55,42,7,16,13,7,9,69,67,63,74,52,71,42,66,81,72,64,64,71,85,77,71,76,61,CDM
C. Lepoint,71,48,82,44,46,67,74,53,40,61,66,58,11,7,16,10,12,77,71,62,65,65,66,69,78,71,70,72,64,58,91,71,84,69,63,CM
F. Chalov,69,82,28,75,70,72-1,68,39,49,70,68,38,7,6,11,6,11,64,34,62,36,65,23,64,70,71,57,67,25,74,66,28,67,62,56,ST 
C. Techera,69,80,55,90,94,70,63,70,74,70,64,60,16,8,6,13,15,40,38,34,56,67,32,65,66,64,61,70,32,75,68,44+10,32,72+4,64,LM
B. Yardımcı,68,75,71,71,71,64,54,61,54,62,25,41,7,13,9,11,13,70,68,66,54,31,68,47,63,63,62,30,66,74,68,69,66,55,24,CB
M. Lund,60,63,43,48,62,57,55,57,21,53,35,28,13,6,9,7,9,52,56,70,50,19,59,37,59,50,56,37,65,64,60,62,63,48,24,CB
M. Fierro,72,53,73,51,50,49,64,57,48,51,41,45,14,16,9,8,7,73,72,88,60,56,77,45,30,73,55,51,77,55,55,67,74,40,54,RB
A. Johansson,73,44,85,57,60,65,77,36,57,57,44,56,15,8,15,9,11,62,79,75,65,53,73,64,45,78,69,66,67,35,78,73,76,67,54,CB 
G. Gómez,70,64,80,81,62,68,72,72,70,64,50,69,9,11,16,6,13,63,69,66,70,61,63,69,55,72,68,74,60,66,74,66,77,66,58,CM
Juli Morrinhos,64,57,44,44,53,61,60,51,60,61,54,42,10,12,13,12,12,60,22,55,61,62,24,69,70,56,70,59,32,54,52,43,55,74,54,CM
Dani Rodríguez,64,66,60,64,70,64,62,58,64,62,64,57,15,15,9,8,7,56,55,63,63,63,52,52,54,69,62,59,58,56,62,62,61,65,46,CM
G. Faivre,67,31,24,33,40,17,22,10,11,10,13,11,66,71,62,68,68,10,11,34,18,6,13,17,11,53,34,16,12,40,30,15,52,12,12,GK 
M. Clayton,64,82,53,83,83,66,58,65,40,64,65,47,14,8,10,12,11,53,24,55,45,48,20,56,66,63,59,58,19,80,70,21,50,56,54,ST
U. Đurđević,73,68,78,68,67,68,71,33,54,70,77,49,11,8,10,13,7,69,36,59,52,68,23,61,74,71,64,80,18,69,50,19,77,58,72,ST 
D. Lalhlimpuia,54,53,33,59,59,52,46,25,33,47,65,30,7,8,12,11,11,48,18,65,31,50,15,55,48,51,38,51,13,58,50,17,58,40,48,ST
L. Đorđević,67,77,33,75,58,67,60,60,58,71,64,66,13,13,13,15,8,69,18,62,57,68,17,69,65,67,65,60,17,79,56,21,60,62,59,ST
N. Lüchinger,58,71,43,33,51,66,47,49,51,71,17,39,14,16,13,8,7,35,55,63,38,27,52,36,52,67,44,40,55,74,58,56,67,29,23,RB
S. Francis,65,74,69,63,65,55,60,63,58,61,40,38,6,6,15,7,6,52,61,70,54,33,61,40,45,63,61,51,65,79,64,65,67,45,34,LB
J. Nolan,64,72,63,88,83,66,62,50,66,67,48,45,5,4,14,4,9,46,63,61,60,58,50,51,54,59,65,56,62,69,82,52,55,66,56,CM
S. Takahashi,67,67,75,75,78,63,42,68,50,43,26,34,9,10,7,5,15,47,64,62,51,32,68,45,46,63,56,54,64,65,85,67,58,44,37,LB
F. Mattiello,70,69,66,76,73,73,64,72,76,70,39,59,7,5,8,9,5,68,60,55,63,76,68,58,60,60,69,76,72,74,69,72,65,60,69,RB
D. Björnquist,65,85,58,74,76,55,56,50,56,58,29,29,8,14,12,10,11,36,60,68,45,39,62,33,45,62,52,44,65,86,86,61,65,44,33,RB 
G. Donsah,75,85,74,82,86,78,74,74,68,78,56,64,14,12,7,7,12,56,62,78,76,70,60,64,62,74,78,82,68,77,88,68,75,74,62,CM 
